Entry
A0A1I9LQ53
A0A1P8AS03
A0A1P8AVE2
A0A654FIB7
A0A654FSU3
A0A7G2DUQ8
A0A7G2ESL9
A0A7G2F2S5
A0A7G2FNC8
A8MQR0
B2C6R6
B5X564
B5X574
C0LGX1
F4HQ17
F4HQ20
F4HQ22
F4I0P8
F4I2J8
F4I3V3
